line_index,LD_value
485,1.0
486,0.0
487,2.0
488,-1.0
489,0.3333333333333333
490,1.0
491,0.0
492,1.0
493,0.0
494,0.0
495,3.0
496,-1.0
497,0.0
498,1.0
499,-1.0
500,0.0
501,4.0
502,2.0
503,1.0
504,-1.0
505,1.0
506,-1.0
507,-1.0
508,-1.0
509,-1.0
510,1.0
511,-1.0
512,-1.0
513,-1.0
514,-1.0
515,1.0
516,0.0
517,-1.0
518,5.0
519,-1.0
520,-1.0
521,0.5
522,1.0
523,1.0
524,0.0
525,1.0
526,-1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,-1.0
532,3.0
533,-1.0
534,-1.0
535,-1.0
536,1.0
537,0.5
538,2.0
539,0.5
540,2.0
541,-1.0
542,2.0
543,0.25
544,2.0
545,0.0
546,-1.0
547,0.5
548,0.5
549,1.0
550,2.0
551,1.0
552,1.0
553,0.0
554,0.0
555,2.0
556,2.0
557,0.5
558,0.0
559,-1.0
560,0.0
561,2.0
562,1.0
563,1.0
564,3.0
565,0.0
566,1.0
567,0.5
568,-1.0
569,1.5
570,0.0
571,2.0
572,-1.0
573,-1.0
574,-1.0
575,2.0
576,1.0
577,3.0
578,1.0
579,-1.0
580,-1.0
581,2.0
582,1.0
583,-1.0
584,0.5
585,1.0
586,0.5
587,0.5
588,0.0
589,-1.0
590,1.0
591,0.0
592,-1.0
593,2.0
594,0.5
595,-1.0
596,0.0
597,-1.0
598,1.0
599,2.0
600,-1.0
601,-1.0
602,-1.0
603,1.0
604,1.0
605,1.0
606,0.0
607,-1.0
608,-1.0
609,-1.0
610,0.0
611,0.0
612,-1.0
613,2.0
614,1.0
615,-1.0
616,0.0
617,-1.0
618,-1.0
619,1.0
620,1.0
621,1.0
622,0.0
623,-1.0
624,0.5
625,1.0
626,3.0
627,1.0
628,2.0
629,0.5
630,-1.0
631,-1.0
632,1.0
633,1.0
634,0.0
635,0.0
636,2.0
637,1.0
638,-1.0
639,-1.0
640,0.5
641,-1.0
642,1.0
643,-1.0
644,-1.0
645,2.0
646,2.0
647,-1.0
648,-1.0
649,0.6666666666666666
650,-1.0
651,0.5
652,0.0
653,0.5
654,-1.0
655,0.5
656,0.5
657,0.5
658,-1.0
659,-1.0
660,0.5
661,5.0
662,0.5
663,-1.0
664,-1.0
665,0.3333333333333333
666,1.0
667,2.0
668,1.0
669,1.0
670,2.0
671,0.0
672,1.0
673,0.0
